,HA_13_7_SB2,HA_13_7_SB4,HA_14_7_S5,HA_14_7_SB1,HA_14_7_SB5,HA_14_7_SB10,HA_15_7_SB3,HA_21_7_S3,HA_21_7_SB1,HA_21_7_SB7,HA_21_7_SB8,HA_22_7_SB4,HA_22_7_SB5,HA_22_7_S3,HA_22_7_S5,HA_23_7_SB3,HA_23_7_SB4,HA_23_7_SB5,HA_23_7_S3,HA_23_7_S5,HA_24_7_SB2,HA_24_7_S1,HA_25_7_S1
1669,0.0258898504,0.016687911799999997,0.010315099299999993,0.038385958600000006,0.018148197800000015,0.02137308929999999,0.0003125585000000029,0.02202494669999999,0.017485829300000002,0.019005486,0.004648234099999996,0.0005404957000000057,0.019221936499999988,-0.005849861900000011,0.005353261799999979,0.0014421172000000015,0.016177182900000007,-0.012304961600000004,0.027502936000000013,0.018569701499999997,-0.0037948897999999925,0.009695860200000005,0.017092577599999992
1670,0.0254239,0.016698083499999995,0.009884294799999993,0.037561645500000004,0.018155513500000015,0.02144637069999999,0.00031603810000000246,0.021836791999999987,0.017458186700000003,0.018969928999999996,0.0045562956999999965,0.0005038818000000058,0.019149297899999987,-0.00599075130000001,0.0052634451999999795,0.0013108738000000017,0.016132851500000007,-0.012591254800000003,0.02765375740000001,0.0186462072,-0.003766317199999992,0.009733300600000005,0.016977705499999992
1671,0.025450682,0.016650420399999998,0.009591314899999993,0.03731358740000001,0.018108539400000012,0.021378795499999992,0.0003139546000000028,0.02182261099999999,0.017462107000000004,0.018989095499999997,0.004537682199999997,0.00046089980000000533,0.01915096559999999,-0.005964061500000011,0.005265116799999979,0.0013323460000000016,0.01617515070000001,-0.012629390100000006,0.02762761340000001,0.018601378499999998,-0.003762471399999992,0.009704598800000006,0.016929356999999992
1672,0.0256728605,0.016679055499999998,0.008684972899999994,0.03664670590000001,0.017947332100000015,0.021250310999999994,0.000337940800000003,0.02189586259999999,0.017556346800000004,0.018973218199999996,0.004619262599999997,0.0004375792000000057,0.01929175599999999,-0.005851631900000011,0.005318040499999979,0.0014615940000000018,0.016294595200000008,-0.012452843000000005,0.02728874370000001,0.018433958199999996,-0.0038905473999999926,0.009605692200000005,0.01684696159999999
1673,0.0257252631,0.016617879399999997,0.008306693599999993,0.0362441822,0.017911422900000015,0.02123305629999999,0.00033357220000000297,0.021908446699999987,0.017539701300000002,0.018968877699999998,0.004627807399999996,0.0004424620000000059,0.019299232699999988,-0.005878247900000011,0.005328046199999979,0.001425197500000002,0.01631244680000001,-0.012504631800000006,0.02725573550000001,0.018399847499999997,-0.003928536999999992,0.009627215200000004,0.01683386749999999
1674,0.0260728015,0.0162151575,0.008625383699999992,0.036565249300000005,0.017942274400000013,0.02117897959999999,0.0002696805000000032,0.021983634499999988,0.017438762200000003,0.019070631199999997,0.004576528699999997,0.0004258124000000056,0.01920991589999999,-0.005891574300000011,0.005379899399999979,0.001341282600000002,0.01633615760000001,-0.012674844000000005,0.02740097050000001,0.0183993243,-0.0038856822999999924,0.009785811000000005,0.01688828699999999
1675,0.0261830106,0.016108541799999997,0.008610563799999993,0.03662169480000001,0.017902617000000013,0.021116590699999993,0.00026311770000000305,0.02202759569999999,0.0174178429,0.019104368599999998,0.0045643753999999965,0.0004074051000000057,0.01918289979999999,-0.00589163850000001,0.0053980198999999795,0.0013616250000000017,0.016366917100000006,-0.012660395600000006,0.027462954800000012,0.0183806877,-0.003857637799999992,0.009795427500000006,0.01689713659999999
1676,0.025999947199999998,0.016217080599999996,0.008631366999999994,0.03674058410000001,0.017812868500000016,0.021140067899999993,0.00031710150000000296,0.02202330519999999,0.017427564300000004,0.019067571499999998,0.004557780099999996,0.00043354080000000596,0.01912018609999999,-0.005978459000000011,0.005389724999999979,0.001368737800000002,0.016364531200000008,-0.012626207900000005,0.02757553880000001,0.018400385899999996,-0.0038509630999999924,0.009829586900000005,0.01692911239999999
1677,0.025887694399999998,0.016191968599999995,0.008064005299999993,0.03585926800000001,0.017920293200000013,0.021175597699999993,0.00030690930000000245,0.022007314599999987,0.017342677200000003,0.019023245499999997,0.004568702699999996,0.000456094500000006,0.01910941209999999,-0.00608193550000001,0.005336859799999979,0.0012906906000000017,0.01630757740000001,-0.012653582200000004,0.02773591170000001,0.018516553399999996,-0.0038032451999999925,0.009770324000000004,0.01693104079999999
1678,0.025778632099999997,0.0162408103,0.008147207999999993,0.03593301130000001,0.017855315500000014,0.021158318299999992,0.00029203680000000273,0.02201922029999999,0.017308425500000002,0.019025329699999996,0.004558770299999996,0.0004585091000000054,0.019111552899999988,-0.00611489100000001,0.005309829099999979,0.0012768304000000015,0.01628810220000001,-0.012639447400000003,0.02776337570000001,0.0184932155,-0.0037916821999999925,0.009732688900000005,0.01692617239999999
1679,0.0256250112,0.016455749999999998,0.008555718599999993,0.03647382000000001,0.017642934100000014,0.021012859599999992,0.00026766050000000307,0.022066998799999987,0.0173334864,0.0190593295,0.004550807499999997,0.0004302271000000057,0.01916543389999999,-0.00606575390000001,0.00528916709999998,0.0013969167000000022,0.01630102850000001,-0.012448024400000006,0.02770713360000001,0.018336296499999998,-0.0037659014999999922,0.009581589200000004,0.01689484229999999
1680,0.0255700352,0.016508531299999997,0.008393859399999993,0.036540661800000006,0.017528507600000014,0.02101484529999999,0.0002703095000000026,0.022064190699999986,0.0173484744,0.0190482747,0.004532928399999997,0.0003888940000000055,0.01919107019999999,-0.006051006600000011,0.005265238699999979,0.0014111884000000017,0.016312862400000006,-0.012405786500000005,0.02767377160000001,0.0183087709,-0.0037950247999999926,0.009531101600000005,0.01688858319999999
1681,0.0255492147,0.0165573038,0.008052731399999992,0.036548210200000014,0.017375706400000013,0.02111396059999999,0.00025077640000000304,0.022058377599999988,0.0173251404,0.019028377299999996,0.004495002599999996,0.00032341290000000543,0.019230192599999987,-0.00604520320000001,0.00521231649999998,0.0013160451000000014,0.016313332600000008,-0.012487384700000005,0.02759106050000001,0.018342398399999998,-0.0038999932999999928,0.009566870400000005,0.01687182799999999
1682,0.0255160904,0.0164344622,0.008131546499999993,0.03679131040000001,0.017359136700000014,0.02115226979999999,0.000257252100000003,0.022027720499999986,0.017326981100000003,0.019031079,0.004484314199999996,0.0003205820000000059,0.01921905769999999,-0.006047206800000011,0.005212292899999979,0.0013124561000000022,0.01630075980000001,-0.012523537300000005,0.02756470870000001,0.018310370799999996,-0.0038996477999999925,0.009537970800000004,0.01688613099999999
